blind_label_id,query,title,authors,description,human_score,human_reason,review_status
B001,A beginner-friendly book explaining astronomy and the universe,Aquatic Turtles,Richard D. Bartlett;Patricia Bartlett,"Titles in this series present basic information on reptiles plus specific instructions for their care. Each book opens with a description of the animal as it exists in its natural habitat, then continues with information on its life cycle and distribution in nature. Readers then get advice on selecting a good specimen, determining sex, and providing proper housing, feeding, and health care. Books are heavily illustrated with instructive color photos.",,,UNLABELLED
B002,A historical book about war and political conflict,Achilles in Vietnam,Jonathan Shay,"An original and groundbreaking book that examines the psychological devastation of war by comparing the soldiers of Homer’s Iliad with Vietnam veterans suffering from post-traumatic stress disorder. In this moving, dazzlingly creative book, Dr. Shay examines the psychological devastation of war by comparing the soldiers of Homer’s Iliad with Vietnam veterans suffering from post-traumatic stress disorder. A classic of war literature that has as much relevance as ever in the wake of the wars in Iraq and Afghanistan, it is a “transcendent literary adventure” (The New York Times) and “clearly one of the most original and most important scholarly works to have emerged from the Vietnam War” (Tim O’Brien, author of The Things They Carried).",,,UNLABELLED
B003,A book about personal growth and finding purpose,The Confident Child,T. E. Apter,"Focusing on children from age five to fifteen, the author shows parents how to help their children acquire self-esteem, problem-solving ability, social skills, and emotional control, and how to detect dangers to self-esteem during adolescence.",,,UNLABELLED
B004,A fantasy adventure involving magic and dangerous journeys,"The Lion, the Witch and the Wardrobe (picture book edition)",C. S. Lewis,"Narnia: A magical land full of wonder and excitement. A place where you will meet Aslan, the bravest of lions, and a beautiful but wicked Witch. There are lots of other fabulous creatures too: giants and dwarfs and animals that talk. It all begins when four children -- Peter, Susan, Edmund, and Lucy -- discover a strange old wardrobe. Stepping inside, they find that it's stranger still, because behind all the fur coats there is a wondrous land of trees and mountains, all glistening with snow. The White Witch has spread an icy winter everywhere. Only Aslan can defeat her and reverse her wicked spell. The children must find the lion before it is too late. If they fail, the Witch will make them her prisoners forever. In the fifty years since it was written, The Lion, the Witch And the Wardrobe has become one of the great classics of children's literature. Now younger children can share the magical experience, stepping into a world of enchantment that will forever lure them back.",,,UNLABELLED
B005,A story about a complicated relationship between a parent and child,To Sail Beyond the Sunset,Robert A. Heinlein,"The author ties together themes and characters from his previous stories as he traces the life and loves of Maureen Johnson, the mother of Lazarus Long",,,UNLABELLED
B006,A historical book about war and political conflict,La Débâcle,Emile Zola;Elinor Dorday;Robert Lethbridge,"Zola wrote that 'my title speaks not merely of a war, but also of the crumbling of a regime and the end of a world'. The penultimate novel of the Rougon-Macquart cycle, La Debacle (1892) takes as its subject the dramatic events of the Franco-Prussian War and the Commune of 1870-71. During Zola's lifetime it was the bestselling of all his novels, praised by contemporaries for its epic sweep as well as its attention to historical detail. The novel seeks to explain why the Second Empire ended in a crushing military defeat and revolutionary violence. It focuses on ordinary soldiers, showing their bravery and suffering in the midst of circumstances they cannot control. Zola's descriptions are some of the most powerful he ever wrote. He skilfully integrates his narrative of events and the fictional lives of his characters to provide the finest account of this tragic chapter in the history of France. Often compared to War and Peace, La Debacle has been described as a 'seminal' work for all modern depictions of war.",,,UNLABELLED
B007,A beginner-friendly book explaining astronomy and the universe,Augustine: A Very Short Introduction,Henry Chadwick,"Very Short Introductions offer stimulating, accessible introductions to a wide variety of subjects, demonstrating the finest contemporary thinking about their central problems and issues.'magisterial and highly readable.' -Bookseller",,,UNLABELLED
B008,A dystopian story about authoritarian control and resistance,Embrace,Mark Behr,"EMBRACE is the story of the awakening of Karl De Man a thirteen-year-old student at the Berg, an exclusive academy for boys in South Africa in the 1970s. Interwoven with the storyline about Karl at school are memories from Karl's childhood and first years at the Berg, presented as an ever-growing patchwork of the many influences on his development: growing up on a game reserve in East Africa, intensely aware of landscape and wildlife; a loving and close family, but a traditional one that will never easily accept Karl's true self: being sent away to school and the formation of new friendships and relationships. But, after threats and punishments handed out after casual sexual games in the dorm, Karl falls in love. He simultaneously has secret affairs with his best friend, Dominic, who is the son of liberal parents, and his choirmaster, Jacques Cilliers. The great strength of the novel is that it places Karl's passions on a wider canvas, focusing on his raw passions and elemental drives against the landscapes of Africa. It is a staggering follow-up to Mark Behr's award-winning first novel, THE SMELL OF APPLES.",,,UNLABELLED
B009,A story about forgiveness and redemption,The Good Liar,Gregory Maguire,"Now an old man living in the United States, Marcel recalls his childhood in German-occupied France, especially the summer that he and his older brother RenT befriended a young German soldier. Reprint.",,,UNLABELLED
B010,"A book about leadership, teamwork, and building effective organizations",The SPEED of Trust,Stephen R. Covey;Rebecca R. Merrill,"The son of the author of the best-selling 7 Habits series explains how trust is a key catalyst for personal and organizational success in the twenty-first century, in a guide for businesspeople that demonstrates how to inspire trust while overcoming bureaucratic obstacles. 100,000 first printing.",,,UNLABELLED
B011,"A moving story about grief, loss, and learning to live again",The Smoke Jumper,Nicholas Evans,"A woman must choose between two men, best friends, that both love her, in a poignant story of love, loyalty, honor, and guilt set against the perilous backdrop of wilderness firefighting. By the author of The Horse Whisperer. Reprint.",,,UNLABELLED
B012,A book about personal growth and finding purpose,Joy Within,Joan Goldstein;Manuela Soares,"Carefully avoiding and particular religious or spiritual point of view, this book offers a practical step-by-step guide to meditation for beginners. It explains what meditation is and details its many benefits, including inner peace, stress reduction, relaxation, and joy. Illustrated.",,,UNLABELLED
B013,A story about forgiveness and redemption,Cash,Johnny Cash,"He was the ""Man in Black,"" a country music legend, and the quintessential American troubadour. He was an icon of rugged individualism who had been to hell and back, telling the tale as never before. In his unforgettable autobiography, Johnny Cash tells the truth about the highs and lows, the struggles and hard-won triumphs, and the people who shaped him. In his own words, Cash set the record straight -- and dispelled a few myths -- as he looked unsparingly at his remarkable life: from the joys of his boyhood in Dyess, Arkansas to superstardom in Nashville, Tennessee, the road of Cash's life has been anything but smooth. Cash writes of the thrill of playing with Elvis, the comfort of praying with Billy Graham; of his battles with addiction and of the devotion of his wife, June; of his gratitude for life, and of his thoughts on what the afterlife may bring. Here, too, are the friends of a lifetime, including Willie Nelson, Roy Orbison, Bob Dylan, and Kris Kristofferson. As powerful and memorable as one of his classic songs, Cash is filled with the candor, wit, and wisdom of a man who truly ""walked the line.""",,,UNLABELLED
B014,"A book about leadership, teamwork, and building effective organizations","Yes, Your Teen Is Crazy!",Michael J. Bradley,"A survival guide for parents helps beleagured adults navigate their childrens' teen years, with advice on how to turn adolescents into strong, confident, productive adults.",,,UNLABELLED
B015,"A moving story about grief, loss, and learning to live again",The Infinite Plan,Isabel Allende,"Selling more than 65,000 copies and topping bestseller lists around the world -- including Spain, Germany, Italy, and Latin America -- this novel tells the engrossing story of one man's quest for love and for his soul.",,,UNLABELLED
B016,"A book about leadership, teamwork, and building effective organizations",Leadership in Organizations,Gary A. Yukl,This text provides the most comprehensive survey of the major theories and research on leadership and managerial effectiveness in formal organizations with practical suggestions for improving leadership skills.,,,UNLABELLED
B017,A beginner-friendly book explaining astronomy and the universe,A History of the World in 10 1/2 Chapters,Julian Barnes,"Offers an idiosyncratic, revisionist history of life on planet Earth, from a playful account of Noah by a stowaway on the Ark, to the spiritual odyssey of a American astronaut",,,UNLABELLED
