source_role,source_file,case_id,query_id,isbn13,title
original_calibration,semantic_relevance_calibration.v0.5.0.csv,Q01_R01,Q01,9780785263715,Searching for God Knows What
original_calibration,semantic_relevance_calibration.v0.5.0.csv,Q01_R05,Q01,9780842356220,Redemption
original_calibration,semantic_relevance_calibration.v0.5.0.csv,Q01_R20,Q01,9781905177042,A Midwife's Story
original_calibration,semantic_relevance_calibration.v0.5.0.csv,Q01_R50,Q01,9780091883768,Who Moved My Cheese?
original_calibration,semantic_relevance_calibration.v0.5.0.csv,Q01_NEG,Q01,9780156272506,The Early Diary of Anaïs Nin: 1923-1927
original_calibration,semantic_relevance_calibration.v0.5.0.csv,Q02_R01,Q02,9780752857930,The Pusher
original_calibration,semantic_relevance_calibration.v0.5.0.csv,Q02_R05,Q02,9780446614832,3rd Degree
original_calibration,semantic_relevance_calibration.v0.5.0.csv,Q02_R20,Q02,9780743412629,The Second Time Around
original_calibration,semantic_relevance_calibration.v0.5.0.csv,Q02_R50,Q02,9780452275003,Zombie
original_calibration,semantic_relevance_calibration.v0.5.0.csv,Q02_NEG,Q02,9780060747220,Son of a Witch
original_calibration,semantic_relevance_calibration.v0.5.0.csv,Q03_R01,Q03,9781590302088,Making a Change for Good
original_calibration,semantic_relevance_calibration.v0.5.0.csv,Q03_R05,Q03,9780142000212,Bridget Jones's Guide to Life
original_calibration,semantic_relevance_calibration.v0.5.0.csv,Q03_R20,Q03,9780688052300,Zen and the Art of Motorcycle Maintenance
original_calibration,semantic_relevance_calibration.v0.5.0.csv,Q03_R50,Q03,9780684845777,Unlimited Power
original_calibration,semantic_relevance_calibration.v0.5.0.csv,Q03_NEG,Q03,9780446579780,The Coming Economic Collapse
original_calibration,semantic_relevance_calibration.v0.5.0.csv,Q04_R01,Q04,9780618894642,Children of Húrin
original_calibration,semantic_relevance_calibration.v0.5.0.csv,Q04_R05,Q04,9781416903437,Wild Magic
original_calibration,semantic_relevance_calibration.v0.5.0.csv,Q04_R20,Q04,9780441009657,The Mirror of Merlin
original_calibration,semantic_relevance_calibration.v0.5.0.csv,Q04_R50,Q04,9780425214244,Master of Dragons
original_calibration,semantic_relevance_calibration.v0.5.0.csv,Q04_NEG,Q04,9780425179611,It's Not About the Bike
original_calibration,semantic_relevance_calibration.v0.5.0.csv,Q05_R01,Q05,9780195119206,Ride of the Second Horseman
original_calibration,semantic_relevance_calibration.v0.5.0.csv,Q05_R05,Q05,9780375760525,Paris 1919
