case_id,query_id,query,query_slice,candidate_source,sampling_bucket,sampling_target_rank,retrieval_rank,isbn13,title,authors,description,dataset_version,rubric_version,human_score,human_reason,review_status
U2_Q01_T02,Q01,A story about forgiveness and redemption,theme,semantic_retrieval,T02,2.0,4.0,9780684867489,Yesterday I Cried,Iyanla Vanzant,"The National Bestseller What is the lesson in abuse, neglect, abandonment, rejection? What is the lesson when you lose someone you really love? Just what are the lessons of life's hard times? Bestselling author Iyanla Vanzant has had an amazing and difficult life -- one of great challenges that unmasked her wonderful gifts and led to wisdom gained. In this simple book, she uses her own personal experiences to show how life's hardships can be re-languaged and revisioned to become lessons that teach us as we grow, heal, and learn to love. The pain of the past does not have to be today's reality. Iyanla Vanzant is an example of how yesterday's tears become the seeds of today's hope, renewal, and strength.",2.0.0,0.1.0,2,god match with redemption but forgiveness aspect is missing,LABELLED
U2_Q01_T10,Q01,A story about forgiveness and redemption,theme,semantic_retrieval,T10,10.0,11.0,9788179921623,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams & Reaching Your Destiny,Robin Sharma,"Wisdom to Create a Life of Passion, Purpose, and Peace This inspiring tale provides a step-by-step approach to living with greater courage, balance, abundance, and joy. A wonderfully crafted fable, The Monk Who Sold His Ferrari tells the extraordinary story of Julian Mantle, a lawyer forced to confront the spiritual crisis of his out-of-balance life. On a life-changing odyssey to an ancient culture, he discovers powerful, wise, and practical lessons that teach us to: Develop joyful thoughts Follow our life's mission and calling Cultivate self-discipline and act courageously Value time as our most important commodity Nourish our relationships, and – live fully, one day at a time A FABLE ABOUT FULFILLING YOUR DREAMS AND REACHING YOUR DESTINY",2.0.0,0.1.0,2,good match with redemption but forgiveness aspect is missing,LABELLED
U2_Q01_T30,Q01,A story about forgiveness and redemption,theme,semantic_retrieval,T30,30.0,32.0,9780060004507,An Old-Fashioned Thanksgiving,Louisa May Alcott;James Bernardin,An adaptation of the original story follows the activities of seven children in nineteenth-century New England as they prepare for the Thanksgiving holiday while Mother is away caring for Grandmother.,2.0.0,0.1.0,0,no match with forgiveness and redemption,LABELLED
U2_Q01_T70,Q01,A story about forgiveness and redemption,theme,semantic_retrieval,T70,70.0,70.0,9780060727536,Cash,Johnny Cash,"He was the ""Man in Black,"" a country music legend, and the quintessential American troubadour. He was an icon of rugged individualism who had been to hell and back, telling the tale as never before. In his unforgettable autobiography, Johnny Cash tells the truth about the highs and lows, the struggles and hard-won triumphs, and the people who shaped him. In his own words, Cash set the record straight -- and dispelled a few myths -- as he looked unsparingly at his remarkable life: from the joys of his boyhood in Dyess, Arkansas to superstardom in Nashville, Tennessee, the road of Cash's life has been anything but smooth. Cash writes of the thrill of playing with Elvis, the comfort of praying with Billy Graham; of his battles with addiction and of the devotion of his wife, June; of his gratitude for life, and of his thoughts on what the afterlife may bring. Here, too, are the friends of a lifetime, including Willie Nelson, Roy Orbison, Bob Dylan, and Kris Kristofferson. As powerful and memorable as one of his classic songs, Cash is filled with the candor, wit, and wisdom of a man who truly ""walked the line.""",2.0.0,0.1.0,2,"strong match with redemption, forgiveness aspect is missing ",LABELLED
U2_Q01_NEG,Q01,A story about forgiveness and redemption,theme,random_negative_candidate,NEG,,,9780064408745,The Good Liar,Gregory Maguire,"Now an old man living in the United States, Marcel recalls his childhood in German-occupied France, especially the summer that he and his older brother RenT befriended a young German soldier. Reprint.",2.0.0,0.1.0,0,no match with forgiveness and redemption,LABELLED
U2_Q02_T02,Q02,A suspenseful story involving crime and investigation,plot_multi_concept,semantic_retrieval,T02,2.0,3.0,9781590525937,Dominion,Randy Alcorn,"When a university professor is found murdered, a brilliant and quick-witted homicide detective, Ollie Chandler, suspects the murderer could be a fellow homicide detective, but as Ollie probes deeper, another detective is murdered.",2.0.0,0.1.0,4,direct recommendation,LABELLED
U2_Q02_T10,Q02,A suspenseful story involving crime and investigation,plot_multi_concept,semantic_retrieval,T10,10.0,11.0,9780156029025,A Drink Before the War,Dennis Lehane,"Private detective partners Patrick Kenzie and Angela Gennaro are hired to find Jenna Angeline, a missing black cleaning woman who allegedly stole confidential state documents, but as their investigation becomes complicated by rival gang leaders, extortion, child prostitution, and assassination reaching to the highest levels of government, they discover that their target has been framed. Reprint. 15,000 first printing.",2.0.0,0.1.0,4,direct recommendation,LABELLED
U2_Q02_T30,Q02,A suspenseful story involving crime and investigation,plot_multi_concept,semantic_retrieval,T30,30.0,31.0,9780060974367,The Hidden Hand,Carroll John Daly,"Private investigator Race Williams is approached by a larger detective agency to help hunt down a criminal gang leader, but he turns down the deal because he prefers to work solo. Somehow word leaks out that he's on the case, and an assassin is put on his tail.",2.0.0,0.1.0,3,"suspense,crime aspects are strong but investigation aspect is implied ",LABELLED
U2_Q02_T70,Q02,A suspenseful story involving crime and investigation,plot_multi_concept,semantic_retrieval,T70,70.0,71.0,9781582294018,Chop Shop,Tim Downs,"Intern forensic pathologist Dr. Riley McKay has noticed irregularities in autopsies at the Allegheny County Coroner's lab. Suspecting foul play, she seeks help from Dr. Nick Polchak, the ""bug man"" renowned for his ability to solve murders by analyzing the insects on victim's bodies. Nick and Riley uncover a sinister link between the lab's director and PharmaGen, a start-up drug company specializing in genetic research. They also discover that PharmaGen fronts an underground system to procure transplant organs for wealthy clients by finding and murdering matching donors. But PharmaGen learns of their security breach and orders the couple destroyed. While staying a step ahead of PharmaGen assassins, romantic attraction develops between Nick and Riley. But the attraction is complicated by a tragic secret that Riley hides -- a secret closely tied to one member of PharmaGen's operation which propels the novel to its astonishing conclusion.",2.0.0,0.1.0,4,direct recommendation,LABELLED
U2_Q02_NEG,Q02,A suspenseful story involving crime and investigation,plot_multi_concept,random_negative_candidate,NEG,,,9780764553028,Sex For Dummies,Sabine Walter,"Does Viagra work for women? What are the side effects from using Uprema? And what the heck is Zonagen? If you thought sex hasn't changed much over the years you have a lot to learn, and Dr. Ruth is the one to tell you all about it! Dr. Ruth is back with a new edition that tackles the hottest, most current sexual issues. Updated material includes expanded coverage of medical concerns, from prostate cancer and Viagra to birth control and sexually transmitted diseases. In addition, expert advice cuts through the medical jargon and presents the latest and most comprehensive information on AIDS – with new statistics and research to current treatments. New and updated illustrations supplement no-nonsense advice on everything from puberty to procreation, and expanded coverage of cybersex resources offers tips for exploring sex on the Internet to enhance understanding and increase enjoyment while protecting kids from inappropriate web sites. Sex For Dummies, 2nd Edition provides you with the information you need to make smart choices about your sexuality.",2.0.0,0.1.0,0,"no match with suspense,crime and investigation",LABELLED
