case_id,query_id,query,query_slice,candidate_source,retrieval_rank,isbn13,title,authors,description,dataset_version,rubric_version,human_score,human_reason,review_status
Q01_R01,Q01,A story about forgiveness and redemption,theme,semantic_retrieval,1,9780785263715,Searching for God Knows What,Donald Miller,"Miller reveals how the inability to find redemption leads to chaotic relationships, self-hatred, the accumulation of meaningless material possessions, and a lack of inner peace.",0.3.0,0.1.0,3,forgiveness aspect is missing,LABELLED
Q01_R05,Q01,A story about forgiveness and redemption,theme,semantic_retrieval,5,9780842356220,Redemption,Gary Smalley;Karen Kingsbury,"When Laura Baxter Jacobs finds out that her husband is involved in an adulterous relationship and wants a divorce, she decides she will love him and remain faithful to her marriage at all costs. This book shows how God can redeem seemingly hopeless relationships, while illustrating one of Gary Smalley's key messages: love is a decision.",0.3.0,0.1.0,3,forgiveness aspect is implicit,LABELLED
Q01_R20,Q01,A story about forgiveness and redemption,theme,semantic_retrieval,20,9781905177042,A Midwife's Story,Penny Armstrong;Sheryl Feldman,"When hospital-trained midwife Penny Armstrong takes on a job delivering the babies of the Amish, she discovers an approach to giving birth which would change her life forever. A Midwife's Story is a life-affirming book that never fails to enlighten, inform and surprise. Honest and ultimately very moving, it is inspirational reading for all student midwives and expectant parents.",0.3.0,0.1.0,0,"The description doesn't meaningfully address forgiveness
 or redemption. “Life-affirming” isn't enough for score 1.",LABELLED
Q01_R50,Q01,A story about forgiveness and redemption,theme,semantic_retrieval,50,9780091883768,Who Moved My Cheese?,Spencer Johnson,"Who Moved My Cheese? is a simple parable that reveals profound truths. It is the amusing and enlightening story of four characters who live in a maze and look for cheese to nourish them and make them happy. Cheese is a metaphor for what you want to have in life, for example a good job, a loving relationship, money or possessions, health or spiritual peace of mind. The maze is where you look for what you want, perhaps the organisation you work in, or the family or community you live in. The problem is that the cheese keeps moving. In the story, the characters are faced with unexpected change in their search for the cheese. One of them eventually deals with change successfully and writes what he has learned on the maze walls for you to discover. You'll learn how to anticipate, adapt to and enjoy change and be ready to change quickly whenever you need to. Discover the secret of the writing on the wall for yourself and enjoy less stress and more success in your work and life. Written for all ages, this story takes less than an hour to read, but its unique insights will last a lifetime.",0.3.0,0.1.0,0,no match to forgiveness or redemption,LABELLED
Q01_NEG,Q01,A story about forgiveness and redemption,theme,random_negative_candidate,,9780156272506,The Early Diary of Anaïs Nin: 1923-1927,Anaïs Nin,"A bridge between the early life of Nin and the first volume of her Diary. In pages more candid than in the preceding diaries, Nin tells how she exorcised the obsession that threatened her marriage and nearly drove her to suicide. Editor's Note by Rupert Pole; Preface by Joaquin Nin-Culmell; Index; photographs.",0.3.0,0.1.0,0,no match to forgiveness or redemption,LABELLED
Q02_R01,Q02,A suspenseful story involving crime and investigation,plot_multi_concept,semantic_retrieval,1,9780752857930,The Pusher,Ed McBain,"Two a.m. in the bitter cold of winter: the young Hispanic man's body is found in a tenement basement. The rope around his neck suggests a clear case of suicide - until the autopsy reveals he'd overdosed on heroin. He was a pusher, and now a thousand questions press down on the detectives of the 87th Precinct. Who set up the phony hanging? Whose fingerprints were on the syringe found at the scene? Who was making threatening phone calls, attempting to implicate Lieutenant Byrnes' teenage son? Somebody is pushing the 87th Precinct hard, and Detective Steve Carella and Lieutenant Pete Byrnes have to push back harder - before a frightening and deadly chain tightens its trip.",0.3.0,0.1.0,4,"directly satisfies suspense,crime and investigation aspects",LABELLED
Q02_R05,Q02,A suspenseful story involving crime and investigation,plot_multi_concept,semantic_retrieval,5,9780446614832,3rd Degree,James Patterson;Andrew Gross,"In James Patterson's shockingly suspenseful #1 New York Times bestseller, one member of the Women's Murder Club is hiding a secret so dangerous that it could destroy them all. One of James Patterson's best loved heroines is about to die. Detective Lindsay Boxer is jogging along a beautiful San Francisco street when a fiery explosion rips through the neighborhood. When Lindsay plunges inside to search for survivors, she finds three people dead. A lost infant and a mysterious message at the scene leaves Lindsay and the San Francisco Police Department completely baffled. Then a prominent businessman is found murdered under bizarre circumstances, with another mysterious message left behind by the killer. Lindsay asks her friends Claire Washburn of the medical examiner's office, Assistant D.A. Jill Bernhardt, and Chronicle reporter Cindy Thomas to help her figure out who is committing these murders-and why they are intent on killing someone every three days. Even more terrifying, the killer has targeted one of the four friends who call themselves the Women's Murder Club. Which one will it be?",0.3.0,0.1.0,4,"directly satisfies suspense,crime and investigation aspects",LABELLED
Q02_R20,Q02,A suspenseful story involving crime and investigation,plot_multi_concept,semantic_retrieval,20,9780743412629,The Second Time Around,Mary Higgins Clark,"The ""Queen of Suspense,"" Mary Higgins Clark, delivers a gripping tale of deception and tantalizing twists that might have been ripped from today's headlines. When Nicholas Spencer, the charismatic head of a company that has developed an anticancer vaccine, disappears without a trace, reporter Marcia ""Carley"" DeCarlo is assigned the story. Word that Spencer, if alive, has made off with huge sums of money -- including the life savings of many employees -- doesn't do much to change Carley's already low opinion of Spencer's wife, Lynn, who is also Carley's stepsister and whom everyone believes is involved. But when Lynn's life is threatened, she asks Carley to help her prove that she wasn't her husband's accomplice. As the facts unfold, however, Carley herself becomes the target of a dangerous, sinister group that will stop at nothing to get what they want.",0.3.0,0.1.0,3,Suspense is explicit; a reporter investigates a disappearance/apparent fraud and becomes threatened.,LABELLED
Q02_R50,Q02,A suspenseful story involving crime and investigation,plot_multi_concept,semantic_retrieval,50,9780452275003,Zombie,Joyce Carol Oates,"After Quentin P, a convicted sex offender, is paroled, he embarks on a series of murders, in a chilling book that is told from Quentin's point of view as he kills and eludes the police. Reprint.",0.3.0,0.1.0,2,matches only crime theme,LABELLED
Q02_NEG,Q02,A suspenseful story involving crime and investigation,plot_multi_concept,random_negative_candidate,,9780060747220,Son of a Witch,Gregory Maguire,"Ten years after the publication of Wicked, beloved novelist Gregory Maguire returns at last to the land of Oz. There he introduces us to Liir, an adolescent boy last seen hiding in the shadows of the castle after Dorothy did in the Witch. Bruised, comatose, and left for dead in a gully, Liir is shattered in spirit as well as in form. But he is tended to at the Cloister of Saint Glinda by the silent novice called Candle, who wills him back to life with her musical gifts. What dark force left Liir in this condition? Is he really Elphaba's son? He has her broom and her cape—but what of her powers? Can he find his supposed half-sister, Nor, last seen in the forbidding prison, Southstairs? Can he fulfill the last wishes of a dying princess? In an Oz that, since the Wizard's departure, is under new and dangerous management, can Liir keep his head down long enough to grow up? For the countless fans who have been dazzled and entranced by Maguire's Oz, Son of a Witch is the rich reward they have awaited so long.",0.3.0,0.1.0,0,no match to any theme or plot aspects,LABELLED
